scenario,step,ecological_health,carbon_sink_capacity,soil_microbiome_health,water_cycle_stability,resource_circularity,technology_capacity,human_wellbeing,social_harmony,governance_quality,conflict_pressure,thermal_stress,sustainability_index
Human-Centered Growth,0,0.62,0.58,0.6,0.64,0.35,0.5,0.65,0.65,0.58,0.3,0.32,0.4194444444444444
Human-Centered Growth,1,0.6209901424590336,0.5767775506968216,0.5991131593326277,0.6416670498552751,0.35033169325055336,0.4996975891291524,0.6526126292664247,0.6498348694583058,0.5786910182020217,0.3035064290689699,0.32165276658247444,0.41812305682605166
Human-Centered Growth,2,0.6190962701308284,0.5743115774072284,0.5931009721295476,0.6368363104603799,0.3500071181920714,0.4970525508591592,0.6526853464357235,0.6463083020200565,0.5754956724597552,0.3088622309343533,0.32378120543967087,0.41349404313924404
Human-Centered Growth,3,0.6187989259268128,0.5685115587792477,0.5898260447471656,0.6356769545657265,0.34850513103722686,0.49855712327649504,0.6509186498093054,0.6439983278276669,0.573921058900862,0.3149928662444703,0.32633600483295033,0.4095248683273681
Human-Centered Growth,4,0.6151108444503174,0.5671983813767999,0.5851915569672341,0.6347097926001865,0.34538579078946735,0.494942170424304,0.6507301401648967,0.6437302823889243,0.5738925415197197,0.3171876771381741,0.3283193344928244,0.40650008050134473
Human-Centered Growth,5,0.6101291363871097,0.5627899641464235,0.5820685118708113,0.6354341661890114,0.3468730273686043,0.49002251266581437,0.6507855088709168,0.641208554796677,0.5721669392300672,0.32083886277662577,0.332965085904974,0.4022688263324262
Human-Centered Growth,6,0.6123917070181444,0.5581475516847163,0.5792523921917415,0.6347090847588367,0.34962411762284906,0.48894582464842884,0.6498142461199128,0.637233368260335,0.569401972655558,0.3248945124487586,0.3382580170209682,0.3986030081837374
Human-Centered Growth,7,0.6116719178296318,0.5571891285079426,0.5777766736939302,0.6320305171674562,0.3511469088338659,0.49390694421110454,0.6491381829351875,0.6385879720346167,0.5637902000417855,0.3289745272574673,0.3410107348668439,0.39641906727509124
Human-Centered Growth,8,0.6102863648665728,0.5544042514272334,0.5716000513214883,0.6302014597566478,0.3526611339768894,0.49865957734553806,0.6474922499701917,0.6351840612470578,0.5624137227668659,0.33324291777010456,0.344245043725391,0.39317277325706895
Human-Centered Growth,9,0.6082236955950406,0.5524580560542097,0.5695890090722555,0.6307469734333087,0.3520570277891347,0.49798865951957905,0.6460886394190206,0.6304573025974832,0.5626320547815145,0.33620239625968285,0.3468328022053289,0.39037913574614114
Human-Centered Growth,10,0.6070405044728066,0.5466520996295019,0.5665403913347759,0.628668584904728,0.35125247325069153,0.49781796265848854,0.6462707589372699,0.6324210672111252,0.5626076946206204,0.3391548893465077,0.34926240740589576,0.38781473548078893
Human-Centered Growth,11,0.6007967155594164,0.5436107449812783,0.5644422858426649,0.632195865845258,0.3516677513211293,0.49903564315859245,0.645567612655695,0.6282662464678466,0.5645189934989441,0.3430942364183823,0.3534224699983965,0.3847710299881192
Human-Centered Growth,12,0.5975852307082434,0.5434212625876378,0.5594142371323552,0.6319671652635669,0.3568486625727493,0.4963866291506951,0.6437898513807919,0.6266362664887667,0.5631373694440095,0.34242977218680604,0.3561313775529213,0.3830471208682699
Human-Centered Growth,13,0.5939668061927926,0.541365777741913,0.5553445289150346,0.6336610008797948,0.3560821559880768,0.4957361314492981,0.6447709002391039,0.6223472485393384,0.5632167587629257,0.34748084093660797,0.35548911249661314,0.3805343237203923
Human-Centered Growth,14,0.5940815293282703,0.5388831145419992,0.5546775214113802,0.6297811809873669,0.35424124276190827,0.49761803993996345,0.6447103390238468,0.6210057917172204,0.5635338563402631,0.3485572576371107,0.35852853039962085,0.37862106588550815
Human-Centered Growth,15,0.5945031591757854,0.5344528683402155,0.5561791761201862,0.6293233499883664,0.352658635767503,0.4999053700475662,0.642106311885785,0.6207342891517938,0.5654751943561083,0.34935041780605114,0.3630320922951885,0.3769419674561689
Human-Centered Growth,16,0.5952680883142699,0.5330970516456645,0.5577442446444598,0.6274278418446749,0.3519511634387881,0.4975642027304701,0.6398169124821679,0.6187320344795475,0.5657812447126376,0.35233801815999855,0.367264117397134,0.37425310880990365
Human-Centered Growth,17,0.5948266056242916,0.5330032556717901,0.5549856188681077,0.6314630067834786,0.3540024981343181,0.4953216362847844,0.6370093807312844,0.6178399652555538,0.564957887135037,0.35620106126104767,0.3707857896485199,0.37196549332690215
Human-Centered Growth,18,0.5941481438676641,0.5283073793377754,0.5497253910776978,0.6291641250232122,0.3565152957229651,0.4962887069528502,0.6338448986816411,0.6163177239234731,0.5653517854392794,0.3568679946032061,0.3736654215055434,0.36955147375354136
Human-Centered Growth,19,0.5938879229802319,0.5230186033803726,0.5482099640597589,0.6288795819989289,0.3594813982093157,0.49977687203615134,0.6304178950194905,0.6125714698598331,0.5660043702676687,0.36032956213476286,0.3772641392003043,0.3669624722008722
Human-Centered Growth,20,0.6050409314342892,0.521180970357771,0.5482701690167018,0.6293926264573496,0.3615841807119273,0.4991610861535686,0.6312617716242759,0.6091448307443537,0.5651525620203376,0.3617936824770843,0.37999398646222265,0.36679631926745926
Human-Centered Growth,21,0.6116007489414289,0.5144808015453646,0.5474435707455454,0.6247787954639118,0.3614403169803485,0.5027537007545724,0.6307191675951399,0.6051039601410637,0.5633429753938459,0.3655895349995598,0.38109952481841197,0.36462373921897606
Human-Centered Growth,22,0.6118645278799782,0.5116068607337202,0.5439417262005177,0.6276785481704424,0.36350815502498457,0.4969949878715687,0.630408832182523,0.6018836186065283,0.5646682187871598,0.3664398253039073,0.3834338421494482,0.3628155248541525
Human-Centered Growth,23,0.6130145712671694,0.5103757017217215,0.5393445596146872,0.6256225602700278,0.36335826440266267,0.49535834126778333,0.6332540042425617,0.6007942625525385,0.5617666097310002,0.37071378258828586,0.3902421246261903,0.3589708982041758
Human-Centered Growth,24,0.6157455496928494,0.5043800274441684,0.5361844334584018,0.626772128118094,0.3627429254714251,0.496998632600877,0.6341115291876863,0.5970282602616175,0.561266964670929,0.3666699809434768,0.39075805783295603,0.3590019292954527
Human-Centered Growth,25,0.6146152744933843,0.4989251531566748,0.5372555635603533,0.6225264606366662,0.36266283649803116,0.4976971891560899,0.6363104704287784,0.5922565260164282,0.5632117434804422,0.3691272353220355,0.39135984512706246,0.3571516984907087
Human-Centered Growth,26,0.6156282132811544,0.49636609179571217,0.5338632605899418,0.6212816930199274,0.3626922093043077,0.49835379990924583,0.6369471930430805,0.5935211779427527,0.5603548167183772,0.3758329472546296,0.3900204388768523,0.3550931485342962
Human-Centered Growth,27,0.6147997800890906,0.49458380574686844,0.5322318839295723,0.6186510937603754,0.36307596480359317,0.4971765711888612,0.6350661987926739,0.5932928832950308,0.5606875062669664,0.3768864405578413,0.3943839474699545,0.35268970164561025
Human-Centered Growth,28,0.6153524382997564,0.4932517701049759,0.5312987760023592,0.615608456176831,0.36275560272319923,0.49972188953556584,0.6355848525512886,0.5913204207854289,0.560540425117741,0.38188122992430046,0.39576549796901495,0.3506366103930207
Human-Centered Growth,29,0.6166212864704985,0.48989228950169617,0.5286733319115516,0.6164226311672759,0.3652064354211753,0.5024651205691565,0.6374864993811158,0.5894167847789216,0.5615222144172868,0.38369917419669625,0.39897558295148644,0.3496320433372519
Human-Centered Growth,30,0.6158829216616072,0.487129635567171,0.5276722352214164,0.6134020727224707,0.37019120997254623,0.4997546794967438,0.6343426748654921,0.5897819090033316,0.5627234961870133,0.38738469033461354,0.40278804451804795,0.346999131253256
Human-Centered Growth,31,0.6155480934427919,0.48237777782042923,0.5256318309060009,0.6106632973928894,0.37294144943938173,0.49962712483317245,0.6319686094331536,0.5871769832490218,0.5631667944922144,0.38869407443451337,0.40369607398758783,0.34513601411770295
Human-Centered Growth,32,0.6160085695716615,0.4799113289587472,0.5224267599804876,0.6083372293512244,0.37420554931409705,0.49559870578114157,0.6284249765564636,0.5837740125832134,0.5623566549913074,0.39175353291071807,0.40919773976231,0.34098926928600337
Human-Centered Growth,33,0.6183236039344085,0.4766399314670826,0.5202017100517642,0.6049504942258832,0.3749685230421123,0.49504451313933767,0.6283361878436002,0.5801442900973766,0.5630113768778092,0.3972559993598454,0.4115302572377457,0.3379835059260883
Human-Centered Growth,34,0.6192784243311265,0.4750707041416002,0.5172139702717886,0.6040179576138353,0.37579370784367594,0.4956525983193732,0.6260458536467741,0.5782015424478149,0.5636230137687898,0.40259466356166673,0.41599784644050375,0.3347849583199882
Human-Centered Growth,35,0.6254959087820978,0.47059955042426654,0.5167845041810377,0.603010137534094,0.3809733137101113,0.4935458185321517,0.6236125304490668,0.5749949731662418,0.5589902213148034,0.40398416329699044,0.41702241314094424,0.3334157956787242
Human-Centered Growth,36,0.6257568232786276,0.468347151704706,0.518363208141371,0.6035367420337449,0.3806195063987865,0.4911455256246806,0.6238379074564608,0.5703425542623096,0.5622672073573646,0.4087807763310757,0.4186273184290563,0.33139426811641726
Human-Centered Growth,37,0.6204236147553428,0.46810778604402303,0.5159508909574255,0.6046327982724472,0.3782306510811978,0.4896587365926061,0.623076750919149,0.5684101731208459,0.5609807584490303,0.41246549543732164,0.4190382007889937,0.32873209374253987
Human-Centered Growth,38,0.6197787828110909,0.4653999127513501,0.5147953704346031,0.6046758068114362,0.37678136689752206,0.4853612978726444,0.6248493630626344,0.5670374046584931,0.5590971928568489,0.41800870219550984,0.42181741241730236,0.32535197114197734
Human-Centered Growth,39,0.6230844880322577,0.4625934271390381,0.5167384183628252,0.6068095729843549,0.3770834386005639,0.4885714966897917,0.62535034277438,0.5677206416669712,0.5567808900640222,0.42182402422544274,0.42648176126468085,0.32400496655126976
